00TI               20241203                                                                                   
0601TIA0N       20250101001705100000005000 0000000000002060   
0601TIA0N       20250101001710100000005000 0000000000002060   
0601TIA0N       20250101001715100000005000 0000000000002060   
0601TIA0N       20250101001720100000005000 0000000000002060   
0601TIA0N       20250101001725100000005000 0000000000002070   
0601TIA0N       20250101001730100000005000 0000000000002070   
0601TIA0N       20250101001735100000005000 0000000000002070   
0601TIA0N       20250101001740100000005000 0000000000002080   
0601TIA0N       20250101001745100000005000 0000000000002080   
0601TIA0N       20250101001750100000005000 0000000000002080   
0601TIA0N       20250101001755100000005000 0000000000002080   
0601TIA0N       20250101001760100000005000 0000000000002090   
0601TIA0N       20250101001765100000005000 0000000000002090   
0601TIA0N       20250101001770100000005000 0000000000002090   
0601TIA0N       20250101001775100000005000 0000000000002090   
0601TIA0N       20250101001780100000005000 0000000000002100   
0601TIA0N       20250101001785100000005000 0000000000002100   
0601TIA0N       20250101001790100000005000 0000000000002100   
0601TIA0N       20250101001795100000005000 0000000000002110   
0601TIA0N       20250101001800100000005000 0000000000002110   
0601TIA0N       20250101001805100000005000 0000000000002110   
0601TIA0N       20250101001810100000005000 0000000000002110   
0601TIA0N       20250101001815100000005000 0000000000002120   
0601TIA0N       20250101001820100000005000 0000000000002120   
0601TIA0N       20250101001825100000005000 0000000000002120   
0601TIA0N       20250101001830100000005000 0000000000002120   
0601TIA0N       20250101001835100000005000 0000000000002130   
0601TIA0N       20250101001840100000005000 0000000000002130   
0601TIA0N       20250101001845100000005000 0000000000002130   
0601TIA0N       20250101001850100000005000 0000000000002130   
0601TIA0N       20250101001855100000005000 0000000000002140   
0601TIA0N       20250101001860100000005000 0000000000002140   
0601TIA0N       20250101001865100000005000 0000000000002140   
0601TIA0N       20250101001870100000005000 0000000000002140   
0601TIA0N       20250101001875100000005000 0000000000002150   
0601TIA0N       20250101001880100000005000 0000000000002150   
0601TIA0N       20250101001885100000005000 0000000000002150   
0601TIA0N       20250101001890100000005000 0000000000002160   
0601TIA0N       20250101001895100000005000 0000000000002160   
0601TIA0N       20250101001900100000005000 0000000000002160   
0601TIA0N       20250101001905100000005000 0000000000002170   
0601TIA0N       20250101001910100000005000 0000000000002170   
0601TIA0N       20250101001915100000005000 0000000000002170   
0601TIA0N       20250101001920100000005000 0000000000002170   
0601TIA0N       20250101001925100000005000 0000000000002180   
0601TIA0N       20250101001930100000005000 0000000000002180   
0601TIA0N       20250101001935100000005000 0000000000002180   
0601TIA0N       20250101001940100000005000 0000000000002180   
0601TIA0N       20250101001945100000005000 0000000000002190   
0601TIA0N       20250101001950100000005000 0000000000002190   
0601TIA0N       20250101001955100000005000 0000000000002190   
0601TIA0N       20250101001960100000005000 0000000000002190   
0601TIA0N       20250101001965100000005000 0000000000002200   
0601TIA0N       20250101001970100000005000 0000000000002200   
0601TIA0N       20250101001975100000005000 0000000000002200   
0601TIA0N       20250101001980100000005000 0000000000002210   
0601TIA0N       20250101001985100000005000 0000000000002210   
0601TIA0N       20250101001990100000005000 0000000000002210   
0601TIA0N       20250101001995100000005000 0000000000002210   
0601TIA0N       20250101002000100000005000 0000000000002220   
0601TIA0N       20250101002005100000005000 0000000000002220   
0601TIA0N       20250101002010100000005000 0000000000002220   
0601TIA0N       20250101002015100000005000 0000000000002220   
0601TIA0N       20250101002020100000005000 0000000000002230   
0601TIA0N       20250101002025100000005000 0000000000002230   
0601TIA0N       20250101002030100000005000 0000000000002230   
0601TIA0N       20250101002035100000005000 0000000000002230   
0601TIA0N       20250101002040100000005000 0000000000002240   
0601TIA0N       20250101002045100000005000 0000000000002240   
0601TIA0N       20250101002050100000005000 0000000000002240   
0601TIA0N       20250101002055100000005000 0000000000002240   
0601TIA0N       20250101002060100000005000 0000000000002250   
0601TIA0N       20250101002065100000005000 0000000000002250   
0601TIA0N       20250101002070100000005000 0000000000002250   
0601TIA0N       20250101002075100000005000 0000000000002250   
0601TIA0N       20250101002080100000005000 0000000000002260   
0601TIA0N       20250101002085100000005000 0000000000002260   
0601TIA0N       20250101002090100000005000 0000000000002260   
0601TIA0N       20250101002095100000005000 0000000000002260   
0601TIA0N       20250101002100100000005000 0000000000002260   
0601TIA0N       20250101002105100000005000 0000000000002270   
0601TIA0N       20250101002110100000005000 0000000000002270   
0601TIA0N       20250101002115100000005000 0000000000002270   
0601TIA0N       20250101002120100000005000 0000000000002280   
0601TIA0N       20250101002125100000005000 0000000000002280   
0601TIA0N       20250101002130100000005000 0000000000002280   
0601TIA0N       20250101002135100000005000 0000000000002280   
0601TIA0N       20250101002140100000005000 0000000000002280   
0601TIA0N       20250101002145100000005000 0000000000002290   
0601TIA0N       20250101002150100000005000 0000000000002290   
0601TIA0N       20250101002155100000005000 0000000000002290   
0601TIA0N       20250101002160100000005000 0000000000002290   
0601TIA0N       20250101002165100000005000 0000000000002290   
0601TIA0N       20250101002170100000005000 0000000000002300   
0601TIA0N       20250101002175100000005000 0000000000002300   
0601TIA0N       20250101002180100000005000 0000000000002300   
0601TIA0N       20250101002185100000005000 0000000000002300   
0601TIA0N       20250101002190100000005000 0000000000002310   
0601TIA0N       20250101002195100000005000 0000000000002310   
0601TIA0N       20250101002200100000005000 0000000000002310   
0601TIA0N       20250101002205100000005000 0000000000002310   
0601TIA0N       20250101002210100000005000 0000000000002310   
0601TIA0N       20250101002215100000005000 0000000000002320   
0601TIA0N       20250101002220100000005000 0000000000002320   
0601TIA0N       20250101002225100000005000 0000000000002320   
0601TIA0N       20250101002230100000005000 0000000000002320   
0601TIA0N       20250101002235100000005000 0000000000002330   
0601TIA0N       20250101002240100000005000 0000000000002330   
0601TIA0N       20250101002245100000005000 0000000000002330   
0601TIA0N       20250101002250100000005000 0000000000002330   
0601TIA0N       20250101002255100000005000 0000000000002340   
0601TIA0N       20250101002260100000005000 0000000000002340   
0601TIA0N       20250101002265100000005000 0000000000002340   
0601TIA0N       20250101002270100000005000 0000000000002340   
0601TIA0N       20250101002275100000005000 0000000000002350   
0601TIA0N       20250101002280100000005000 0000000000002350   
0601TIA0N       20250101002285100000005000 0000000000002350   
0601TIA0N       20250101002290100000005000 0000000000002350   
0601TIA0N       20250101002295100000005000 0000000000002350   
0601TIA0N       20250101002300100000005000 0000000000002360   
0601TIA0N       20250101002305100000005000 0000000000002360   
0601TIA0N       20250101002310100000005000 0000000000002360   
0601TIA0N       20250101002315100000005000 0000000000002360   
0601TIA0N       20250101002320100000005000 0000000000002360   
0601TIA0N       20250101002325100000005000 0000000000002370   
0601TIA0N       20250101002330100000005000 0000000000002370   
0601TIA0N       20250101002335100000005000 0000000000002370   
0601TIA0N       20250101002340100000005000 0000000000002370   
0601TIA0N       20250101002345100000005000 0000000000002380   
0601TIA0N       20250101002350100000005000 0000000000002380   
0601TIA0N       20250101002355100000005000 0000000000002380   
0601TIA0N       20250101002360100000005000 0000000000002380   
0601TIA0N       20250101002365100000005000 0000000000002380   
